Wine,info_url_x,dry/sweetness,light/bold (body),tannins,acidity,abv,wine_type,pairing_notes,wine_expert_id,key flavors,img_url,info_url_y,in_list
Oeil-de-Perdrix (Rosé of Pinot Noir),https://www.ddiwine.com/products/caves-du-prieure-l-oeil-de-perdrix,2.0,2.5,1.5,4.0,13.0,2,"Traditional Neuchâtel style Pinot Noir Rosé. Refreshing and structured. Ideal for summer salads, grilled salmon, or spicy Asian dishes.",,"Wild Strawberry, Redcurrant, Rhubarb, Crisp Citrus",https://www.ddiwine.com/cdn/shop/files/Oeil_de_Perdrix_Caves_du_Prieure.jpg?v=1710000000,,False
"Dôle ""Des Monts""",https://www.ddiwine.com/products/dole,1.0,3.0,2.5,3.0,13.5,3,"Maison Gilliard's famous blend of Pinot Noir and Gamay. Harmonious and fruity. Great with roasted poultry, mushroom dishes, or mild cheeses.",,"Red Cherry, Raspberry, Subtle Spice, Earthy",https://www.ddiwine.com/cdn/shop/files/Dole_Des_Monts_Maison_Gilliard.jpg?v=1710000000,,False
"Merlot ""Nom de Zeus""",https://www.ddiwine.com/products/nom-de-zues-merlot,1.0,4.0,4.0,3.0,13.5-15,3,"Italian-style sausages with fennel,Spaghetti and meatballs,Macaroni cheese,Meatloaf,cheeseburgers,jambalaya,Roast turkey,Chinese style crispy duck pancakes,Braised short ribs,Beef Wellington,Roast beef,Pizza,bbq chicken,Mac & Cheese,Pasta Bolognese,Steak",,"Vanilla, Blackberry, Plum",https://www.ddiwine.com/cdn/shop/files/Merlot_Nom_de_Zeus_Domaine_du_Centaure.jpg?v=1710000000,https://www.ddiwine.com/collections/all-wine/products/nom-de-zues-merlot,True
Gamay,https://www.ddiwine.com/products/domaine-les-perrieres-gamay,2.0,2.5,2.0,3.0,12.5,3,"Lively and fruit-forward Geneva Gamay. Try serving slightly chilled with terrines, roasted pork, or casual BBQ.",,"Juicy Red Plum, Cranberry, Black Pepper, Violet",,,False
"Merlot ""Rosso di Luna""",https://www.ddiwine.com/products/delea-red-merlot,1.0,3.0,4.0,3.0,13.5-15,3,,,"Cherry, Baked Brie, Plum",https://drive.google.com/file/d/1XlABABkX2fDyXQSQTXuShOqGkPyYYeQu/view?usp=drive_link,https://www.ddiwine.com/collections/all-wine/products/delea-red-merlot,True
"White Merlot ""Chiar di Luna""",https://www.ddiwine.com/products/white-merlot,2.0,2.0,1.0,2.0,,1,,,"Melon, Linden Flowers, Pear",https://drive.google.com/file/d/1opZgW2LvbYuhywKIPTmxc4YerYyfBwMN/view?usp=drive_link,https://www.ddiwine.com/collections/all-wine/products/white-merlot,True
Müller-Thurgau (Riesling-Sylvaner),https://www.ddiwine.com/products/weingut-rebhalde-muller-thurgau,1.5,1.5,1.0,3.0,10.5,1,"Delightful as an aperitif. Pairs beautifully with freshwater fish, light pastas, seasonal vegetables, and soft cheeses.",,"Elderflower, Jasmine, Crunchy Nectarine, Green Apple, Citrus",,,False
Chasselas Non-Filtré,https://www.ddiwine.com/products/chasselas-non-filtre,1.5,2.0,1.0,3.5,11.5,1,"Unfiltered Neuchâtel specialty. Cloudy, rich in lees, and zesty. Fantastic with asparagus, seafood, and fresh goat cheese.",,"Grapefruit, Yeasty Bread Dough, Pear, Cloudy Mineral",,,False
Pet Nat,https://www.ddiwine.com/products/petnat,1.5,2.0,1.0,4.0,12.0,2Brut Rosé,"Excellent sparkling wine. Great for celebrations, oysters, and fried foods.",,"Orchard Fruit, Brioche, Lemon Citrus, Fine Bubbles",,,False
"Pinot Noir ""Trocla Nera""",https://www.ddiwine.com/products/pinot-noir-trocla-nera,1.0,3.5,3.0,3.8,13.5,3,"Premium Graubünden Pinot Noir. Complex and structured. A stunning pairing for venison, lamb rack, or aged hard cheeses.",,"Dark Cherry, Clove, Forest Floor, Elegant Spice",,,False
"Brut Blanc de Blancs ""Ô de la Côte""",https://www.ddiwine.com/products/brut-blanc-de-blancs-o-de-la-cote,3.0,2.0,1.0,3.0,12.0,4,"Excellent sparkling wine. Great for celebrations, oysters, and fried foods.",,"Pear, Brioche, Lemon Citrus, Fine Bubbles",,,False
"Pinot Noir ""Monolith""",https://www.ddiwine.com/products/pinot-noir-monolith,1.0,4.0,3.5,3.5,14.0,3,"A monumental Swiss Pinot Noir with deep oak integration. Decant and serve with fine cuts of beef, truffle risotto, or duck breast.",,"Black Cherry, Truffle, Oak Spice, Velvety",,,False
Gamaret,https://www.ddiwine.com/products/gamaret,1.0,3.5,3.0,3.5,13.5,3,"Robust red wine. Ideal with roasted meats, BBQ, and aged cheeses.",,"Dark Berries, Pepper, Earthy, Subtle Oak",,,False
Brut Rosé,https://www.ddiwine.com/products/brut-rose,1.5,2.0,1.0,4.0,12.0,2,"Excellent sparkling wine. Great for celebrations, oysters, and fried foods.",,"Wild Strawberry, Redcurrant, Brioche, Lemon Citrus, Fine Bubbles",,,False
Pont des Soupirs,https://www.ddiwine.com/products/pont-des-soupirs,1.0,4.0,3.0,3.5,13.5,3,"Robust red wine. Ideal with roasted meats, BBQ, and aged cheeses.",,"Dark Berries, Pepper, Earthy, Subtle Oak",,,False
"Merlot de Peissy ""Les Ravières""",https://www.ddiwine.com/products/merlot-de-peissy-les-ravieres,1.0,4.0,2.5,3.0,13.5,3,"Domaine Les Perrières Geneva Merlot. Smooth and round. Perfect with tomato-based pasta, grilled vegetables, and soft cow's milk cheeses.",,"Blackberry, Plum, Soft Vanilla, Mocha",,,False
Viognier,https://www.ddiwine.com/products/viognier,2.0,3.0,1.0,3.0,13.0,1,"Aromatic and fresh white. Pairs well with spicy Thai food, chicken, and creamy cheeses.",,"Jackfruit, Apricot, Green Apple, Bellpepper, Mineral",,,False
Pinot Blanc,https://www.ddiwine.com/products/pinot-blanc,1.0,3.0,1.0,3.0,13.0,1,"Aromatic and fresh white. Pairs well with spicy Thai food, chicken, and creamy cheeses.",,"White Peach, Yellow Apple, Lemon Zest, Mineral",,,False
Roter Räuschling Amphore,https://www.ddiwine.com/products/roter-rauschling-amphore,1.0,3.0,3.0,3.0,12.0,2,"Rare amphora-aged white. Complex, textural, and slightly oxidative. Pairs beautifully with hearty pork dishes, roasted root vegetables, and complex cheeses.",,"Quince, Orange Peel, Nutty Oxidation, Wet Stone",,,False
Completer,https://www.ddiwine.com/products/completer,1.5,4.5,1.5,4.0,14.0,1,"Ancient Graubünden indigenous grape. Rich, full-bodied with electric acidity. Best with mature Alpine cheeses or rich creamy poultry dishes.",,"Candied Quince, Marzipan, High Citrus, Saline",,,False
Noir Divin,https://www.ddiwine.com/products/noir-divin,1.0,4.5,4.0,3.5,14.0,3,"A powerful Geneva red blend. Rich and intense. Enjoy with braised short ribs, hearty beef stews, or dark chocolate desserts.",,"Blackcurrant, Dark Chocolate, Cassis, Toasted Oak",,,False
"Räuschling ""Stäfa""",https://www.ddiwine.com/products/stafa-rauschling,2.0,1.5,1.0,4.5,11.5,1,"Lake Zurich specialty. High acidity, crisp and refreshing. The ultimate match for fresh lake fish (Zander/Perch) and light salads.",,"Green Apple, Lemon Zest, White Flowers, Chalky",,,False
"Cuvée Blanc ""Lattenberger""",https://www.ddiwine.com/products/cuvee-blanc,3.0,3.0,1.0,3.0,13.0,1,"Aromatic and fresh white. Pairs well with spicy Thai food, chicken, and creamy cheeses.",,"Rose Petal, White Peach, Lychee, Nutmeg",,,False
Merlot/Zweigelt,https://www.ddiwine.com/products/merlot-zweigelt,1.5,3.0,3.0,3.5,13.5,3,"A true all-rounder — equally at home with grilled meats, charcuterie, aged cheese, or simply on a weeknight.",,"Plum, Tart Black Cherry, Subtle Earth, Soft Oak",,,False
Vin Viv Rouge,https://www.ddiwine.com/products/vin-viv-rouge,1.5,3.0,3.0,3.5,13.5,3,"Perfect with charcuterie, Bündnerfleisch, grilled vegetables, soft cheeses, or lightly chilled on a warm evening.",,"Cherry, Fresh Strawberry, Soft Pepper",,,False
Vin Viv Blanc,https://www.ddiwine.com/products/vin-viv-blanc,1.5,3.0,1.0,3.0,13.0,1,"Versatile at the table — ideal with charcuterie, light pasta, grilled vegetables, fresh goat cheese, or simply on its own as an aperitif.",,"White Raspberry, Currant, Grassy, Floral, Mineral",,,False
"Weissburgunder ""Malanser"" (Pinot Blanc)",https://www.ddiwine.com/products/weissburgunder-malanser-pinot-blanc,1.0,3.0,1.0,3.0,13.0,1,"Ideal with shellfish, crab, river trout, herb-roasted chicken, or soft alpine cheeses.",,"Pear, Citrus, Fresh Herbs, Linden Blossom, Creamy",,,False
"Blauburgunder ""Malanser"" (Pinot Noir)",https://www.ddiwine.com/products/blauburgunder-malanser-pinot-noir,1.0,3.5,2.5,3.5,12.5,1,"A natural match for Bündnerfleisch, game, roasted poultry, mushroom risotto, or aged mountain cheeses.",,"Red and Dark Cherry, Subtle Spice, Almond, Earthy",,,False
