food_name,food_name_en,Sweetness,Acidity,Saltiness,Bitterness,Umami,Spiciness_Heat,Richness,Texture_Prep,Cluster,Vibe_Tag,food_description_en,image_file
수육보쌈,Sliced Steamed Pork Wraps (Bossam),1.36,1,1.27,1.55,2.91,1,2.64,2.36,5,"Family, Friends","Tender, slow-boiled pork belly slices meant to be wrapped in salted cabbage leaves with spicy radish salad.",bossam.png
한방족발,Herbal Braised Pig's Trotters (Jokbal),1.9,1,2.4,1.6,2.6,1,1.3,1.6,1,Family,Pork trotters slowly simmered with traditional Korean medicinal herbs and soy sauce for a deeply savory and gelatinous texture.,jokbal.png
닭볶음탕,Spicy Braised Chicken Stew (Dak-bokkeum-tang),2.18,1.09,1.64,1.27,2,2.09,1.09,1.64,2,Family,A hearty and spicy braised chicken stew cooked with potatoes and carrots in a robust red chili broth.,dak_bokkeum_tang.png
안동찜닭,Soy Ginger Braised Chicken (Jjimdak),2,1,1.22,1.39,1.44,1.33,1.17,1.72,1,Family,"Savory braised chicken in a rich soy-based sauce with glass noodles, potatoes, and a hint of dried chili heat.",jjimdak.png
두부김치,Warm Tofu with Stir-Fried Kimchi,1.62,1.38,1.88,1.12,2,2,1.75,1.75,1,Friends,"Warm, soft tofu served alongside tangy, stir-fried aged kimchi, often cooked with small bites of pork.",dubukimchi.png
매운갈비찜,Spicy Braised Short Ribs (Maeun-galbi-jjim),2.17,1.17,1.67,1.11,2.33,2.5,1.5,1.83,2,Family,"A fiery version of braised beef or pork ribs, slow-cooked in a blisteringly spicy and sweet red chili sauce.",maeun_galbi_jjim.png
치킨,Classic Korean Fried Chicken,1.47,1,1.47,1.26,1.21,1,1.53,1.63,1,"Solo, Friends","Classic Korean fried chicken boasting an impossibly shatter-crisp exterior and juicy, tender meat.",fried_chicken.png
양념치킨,Sweet & Spicy Korean Fried Chicken,2.86,1.43,2.14,1.29,2.43,2.14,1.14,1.57,2,"Solo, Friends","Crispy fried chicken coated in a sticky, sweet, and mildly spicy garlic-chili glaze.",yangnyeom_chicken.png
김치전,Savory Kimchi Pancake (Kimchijeon),1.25,2.75,2.75,1.25,2.75,2.25,1,2,4,Friends,"A savory, crispy pan-fried pancake made with well-fermented kimchi, offering a tangy and comforting bite.",kimchijeon.png
해물파전,Seafood & Green Scallion Pancake (Pajeon),1.12,1,1.88,1.12,2.62,1,1.5,2.5,0,"Family, Friends",A crispy and savory green onion pancake generously packed with assorted seafood like shrimp and squid.,haemul_pajeon.png
감자전,Crispy Potato Pancake (Gamjajeon),1,1,2,1,1,1,2,2.25,1,Friends,"Pan-fried potato pancake made from freshly grated potatoes, featuring a crispy edge and a soft, chewy center.",gamjajeon.png
소고기육전,Pan-Fried Battered Beef Slices (Yukjeon),1.44,1,1.44,1.22,2.22,1,1.89,2.33,1,Friends,"Thin slices of tender beef coated in an egg batter and gently pan-fried to a savory, golden finish.",yukjeon.png
탕수육,Sweet and Sour Crispy Pork (Tangsuyuk),2,1.29,1.29,1,2.21,1,2,2.93,3,Friends,Korean-Chinese style crispy deep-fried pork served with a sweet and tangy thick fruit and vegetable sauce.,tangsuyuk.png
고기만두,Steamed Pork & Vegetable Dumplings (Mandu),1.56,1.19,1.62,1.38,2.44,1,1.5,1.94,1,Friends,"Steamed or pan-fried dumplings generously stuffed with a savory mixture of minced pork, tofu, and vegetables.",mandu.png
아구찜,Spicy Braised Monkfish (Agu-jjim),1.33,1,1.61,1.39,2.33,1.9,1.33,2,0,Family,"Spicy braised monkfish cooked with crunchy bean sprouts in a thick, fiery red chili and garlic sauce.",agu_jjim.png
낙지볶음,Spicy Stir-Fried Octopus (Nakji-bokkeum),1.95,1.05,1.74,1.16,2.37,2.42,1.16,2.11,0,Friends,"Stir-fried octopus in an intensely spicy and slightly sweet gochujang sauce, boasting a chewy texture.",nakji_bokkeum.png
간장게장,Soy Sauce Marinated Raw Crab (Ganjang-gejang),1.9,1,1.6,1.5,2.3,1,1,1.1,0,Family,"Raw crab marinated in a perfectly balanced sweet and savory soy sauce, known as the ultimate ""rice thief.""",ganjang_gejang.jpeg
해물탕,Spicy Seafood Stew (Haemultang),1.5,1,2.05,1.2,3.25,2.55,1.05,1.7,0,Family,"A bubbling, spicy seafood stew packed with crab, shrimp, clams, and vegetables in a deeply comforting red broth.",haemultang.jpeg
골뱅이무침,Spicy Sea Snail Salad with Noodles,2.19,1.44,1.44,1.19,2,2.5,1.31,1.94,0,Friends,"Chewy sea snails tossed with fresh vegetables and thin noodles in a tangy, sweet, and spicy red pepper sauce.",golbaengi_muchim.jpeg
간장새우장,Soy Sauce Marinated Raw Shrimp (Saewoujang),1.85,1.31,1.46,1.54,2.08,1,1,1.23,0,Family,"Raw shrimp elegantly marinated in a mild, sweet, and savory soy broth, delivering a buttery, melt-in-your-mouth texture.",saewoujang.png
오뎅탕,Savory Fish Cake Soup (Odeng-tang),1.46,1,2.69,1.08,3.69,1,1.08,1.54,4,Solo,"A comforting and savory broth loaded with various fish cakes, perfect for a cozy and warming experience.",odeng_tang.jpeg
비빔밥,Classic Korean Rice Bowl (Bibimbap),1.91,1.45,1.73,1,2.64,1.8,2.36,2.27,3,Solo,"A vibrant bowl of warm rice topped with an array of seasoned vegetables, a fried egg, and spicy gochujang sauce to mix.",bibimbap.png
김밥,Korean Rice Rolls (Gimbap),1.5,1.21,2.57,1.14,2.64,1,1.57,2.5,4,Solo,"Korean seaweed rice rolls tightly packed with a colorful variety of fillings like pickled radish, egg, spinach, and meat.",gimbap.png
잡채,Stir-Fried Glass Noodles & Vegetables (Japchae),1.53,1,1.63,1.16,2.21,1,2.05,2.11,1,Family,Savory and slightly sweet stir-fried glass noodles mixed with colorful julienned vegetables and tender strips of beef.,japchae.png
짜장면,Black Bean Sauce Noodles (Jajangmyeon),1.7,1,1.3,1.1,2.2,1,2,2.8,3,Solo,"A popular Korean-Chinese noodle dish smothered in a thick, savory, and slightly sweet black bean sauce with diced pork.",jajangmyeon.png
짬뽕,Spicy Seafood Noodle Soup (Jampong),1.3,1,1.67,1.19,2.59,2.37,1.59,1.78,1,Solo,"A fiery Korean-Chinese seafood noodle soup with a robust, spicy red broth infused with smoky flavors.",jampong.jpeg
김치볶음밥,Classic Kimchi Fried Rice,1.12,1.38,2.62,1.12,2.88,1.9,3.12,2.38,4,Solo,"Comforting fried rice made with tangy, aged kimchi, often crowned with a perfectly fried sunny-side-up egg.",kimchi_fried_rice.png
비빔냉면,Spicy Chilled Noodles (Bibim-naengmyeon),2.44,1.78,1.78,1.22,2.11,2.3,1.33,1.33,2,Solo,"Chewy buckwheat noodles tossed in a spicy, sweet, and tangy red chili dressing, served chilled.",bibim_naengmyeon.jpeg
떡볶이,Spicy Rice Cakes (Tteokbokki),2.4,1.2,2.4,1.2,2.8,2.4,1.2,1.4,2,Solo,Korea's most iconic street food featuring chewy rice cakes bathed in a sweet and fiery gochujang sauce.,tteokbokki.png
로제떡볶이,Creamy Rose Rice Cakes (Rose Tteokbokki),2.1,1.06,2.29,1.24,3,2.1,2.41,2.24,4,"Solo, Friends","A trendy twist on traditional Tteokbokki, blending the spicy gochujang sauce with rich cream for a smooth, velvety heat.",rose_tteokbokki.jpeg
소고기육회,Korean Seasoned Beef Tartare (Yukhoe),1.75,1.17,1.67,1.08,2.5,1.08,2.33,2.08,3,Friends,"Korean-style beef tartare made from premium raw beef, lightly seasoned with sesame oil, soy sauce, and Asian pear.",yukhoe.png
떡갈비,Sweet Soy Grilled Beef Patties (Tteokgalbi),2,1,1.53,1.2,2.93,1,2.33,1.87,1,Family,"Minced and heavily seasoned beef ribs, formed into juicy patties and grilled with a sweet soy glaze.",tteokgalbi.png
소곱창구이,Grilled Beef Tripe BBQ (Gopchang),1,1,1,1,2.75,1,4,3.75,3,Friends,"Grilled beef intestines, a beloved delicacy known for its incredibly rich, fatty flavor and uniquely chewy texture.",gopchang.jpeg
두부조림,Braised Soy Garlic Tofu (Dubu-jorim),1.89,1,1.89,1.33,2,1.5,1.44,1.44,1,Solo,Slices of pan-fried firm tofu simmered in a savory and mildly spicy garlic-soy reduction.,dubu_jorim.png
제육타코,Spicy Pork Belly Tacos (Jeyuk Tacos),1.94,1.25,1.88,1.12,2.62,2,2,2.06,1,"Solo, Friends",A modern fusion delight combining spicy Korean stir-fried pork (Jeyuk) with classic Mexican taco shells and fresh toppings.,jeyuk_tacos.png
김치치즈볼,Crispy Kimchi Cheese Balls,1.4,1.4,1.8,1,2.1,1.2,2.8,3,3,"Solo, Friends","Crispy, deep-fried bite-sized balls stuffed with a savory mix of tangy kimchi and gooey, melted cheese.",kimchi_cheese_balls.png
등갈비바베큐,Sweet & Savory Korean BBQ Pork Ribs,2,1.5,1.59,1.45,2.09,1.32,1.55,1.68,1,Family,"Tender, slow-cooked pork back ribs slathered in a sticky, sweet, and smoky Korean-style BBQ sauce.",dwaeji_galbi.png
순대볶음,Spicy Stir-Fried Blood Sausage (Sundae-bokkeum),1.85,1.08,1.69,1.31,2.31,1.77,1.62,2,1,"Solo, Friends",Slices of Korean blood sausage (Sundae) stir-fried with vegetables and glass noodles in a spicy gochujang sauce.,sundae_bokkeum.png
순두부찌개,Spicy Soft Tofu Stew (Sundubu-jjigae),1.67,1,1.8,1.2,2.2,1.9,1.6,1.8,1,Solo,"A bubbling hot, spicy stew featuring silken, melt-in-your-mouth tofu, vegetables, and often seafood or pork.",sundubu_jjigae.png
부대찌개,Spicy Army Base Stew (Budae-jjigae),1.43,1.21,2.14,1.29,2.64,2.2,1.79,1.71,4,"Family, Friends","Army Stew'—a hearty, spicy fusion broth loaded with kimchi, spam, sausages, ramen noodles, and baked beans.",budae_jjigae.jpg
감자탕,Spicy Pork Bone Stew (Gamjatang),1.33,1.08,2.17,1.58,2.75,2.2,1.75,2.08,4,"Family, Friends","A deeply flavorful and spicy pork bone soup slow-boiled with tender potatoes, perilla leaves, and rich spices.",gamjatang.jpeg
