Wine,info_url_x,dry/sweetness,light/bold (body),tannins,acidity,abv,wine_type,pairing_notes,wine_expert_id,key flavors,img_url,info_url_y,in_list,winery
Gamaret,https://www.ddiwine.com/products/gamaret,1,3.5,3,3.5,13.5,3,"Robust red wine. Ideal with roasted meats, BBQ, and aged cheeses.",,"Dark Berries, Pepper, Earthy, Subtle Oak",,,FALSE,DOMAINE LES PERRIÈRES
Brut Rosé,https://www.ddiwine.com/products/brut-rose,1.5,2,1,4,12,2,"Excellent sparkling wine. Great for celebrations, oysters, and fried foods.",,"Wild Strawberry, Redcurrant, Brioche, Lemon Citrus, Fine Bubbles",,,FALSE,WEINGUT OBRECHT
Pont des Soupirs,https://www.ddiwine.com/products/pont-des-soupirs,1,4,3,3.5,13.5,3,"Robust red wine. Ideal with roasted meats, BBQ, and aged cheeses.",,"Dark Berries, Pepper, Earthy, Subtle Oak",,,FALSE,DOMAINE DU PARADIS
"Merlot de Peissy ""Les Ravières""",https://www.ddiwine.com/products/merlot-de-peissy-les-ravieres,1,4,2.5,3,13.5,3,"Domaine Les Perrières Geneva Merlot. Smooth and round. Perfect with tomato-based pasta, grilled vegetables, and soft cow's milk cheeses.",,"Blackberry, Plum, Soft Vanilla, Mocha",,,FALSE,DOMAINE LES PERRIERES
Viognier,https://www.ddiwine.com/products/viognier,2,3,1,3,13,1,"Aromatic and fresh white. Pairs well with spicy Thai food, chicken, and creamy cheeses.",,"Jackfruit, Apricot, Green Apple, Bellpepper, Mineral",,,FALSE,DOMAINE LES PERRIERES
Pinot Blanc,https://www.ddiwine.com/products/pinot-blanc,1,3,1,3,13,1,"Aromatic and fresh white. Pairs well with spicy Thai food, chicken, and creamy cheeses.",,"White Peach, Yellow Apple, Lemon Zest, Mineral",,,FALSE,DOMAINE DU PARADIS
Roter Räuschling Amphore,https://www.ddiwine.com/products/roter-rauschling-amphore,1,3,3,3,12,2,"Rare amphora-aged white. Complex, textural, and slightly oxidative. Pairs beautifully with hearty pork dishes, roasted root vegetables, and complex cheeses.",,"Quince, Orange Peel, Nutty Oxidation, Wet Stone",,,FALSE,WEINGUT REBHALDE
Completer,https://www.ddiwine.com/products/completer,1.5,4.5,1.5,4,14,1,"Ancient Graubünden indigenous grape. Rich, full-bodied with electric acidity. Best with mature Alpine cheeses or rich creamy poultry dishes.",,"Candied Quince, Marzipan, High Citrus, Saline",,,FALSE,WEINGUT OBRECHT
Noir Divin,https://www.ddiwine.com/products/noir-divin,1,4.5,4,3.5,14,3,"A powerful Geneva red blend. Rich and intense. Enjoy with braised short ribs, hearty beef stews, or dark chocolate desserts.",,"Blackcurrant, Dark Chocolate, Cassis, Toasted Oak",,,FALSE,DOMAINE DU PARADIS
"Räuschling ""Stäfa""",https://www.ddiwine.com/products/stafa-rauschling,2,1.5,1,4.5,11.5,1,"Lake Zurich specialty. High acidity, crisp and refreshing. The ultimate match for fresh lake fish (Zander/Perch) and light salads.",,"Green Apple, Lemon Zest, White Flowers, Chalky",,,FALSE,WEINGUT REBHALDE
"Cuvée Blanc ""Lattenberger""",https://www.ddiwine.com/products/cuvee-blanc,3,3,1,3,13,1,"Aromatic and fresh white. Pairs well with spicy Thai food, chicken, and creamy cheeses.",,"Rose Petal, White Peach, Lychee, Nutmeg",,,FALSE,WEINGUT REBHALDE
Merlot/Zweigelt,https://www.ddiwine.com/products/merlot-zweigelt,1.5,3,3,3.5,13.5,3,"A true all-rounder — equally at home with grilled meats, charcuterie, aged cheese, or simply on a weeknight.",,"Plum, Tart Black Cherry, Subtle Earth, Soft Oak",,,FALSE,WEINGUT REBHALDE
Vin Viv Rouge,https://www.ddiwine.com/products/vin-viv-rouge,1.5,3,3,3.5,13.5,3,"Perfect with charcuterie, Bündnerfleisch, grilled vegetables, soft cheeses, or lightly chilled on a warm evening.",,"Cherry, Fresh Strawberry, Soft Pepper",,,FALSE,WEGELIN WEINE
Vin Viv Blanc,https://www.ddiwine.com/products/vin-viv-blanc,1.5,3,1,3,13,1,"Versatile at the table — ideal with charcuterie, light pasta, grilled vegetables, fresh goat cheese, or simply on its own as an aperitif.",,"White Raspberry, Currant, Grassy, Floral, Mineral",,,FALSE,WEGELIN WEINE
"Weissburgunder ""Malanser"" (Pinot Blanc)",https://www.ddiwine.com/products/weissburgunder-malanser-pinot-blanc,1,3,1,3,13,1,"Ideal with shellfish, crab, river trout, herb-roasted chicken, or soft alpine cheeses.",,"Pear, Citrus, Fresh Herbs, Linden Blossom, Creamy",,,FALSE,WEGELIN WEINE
"Blauburgunder ""Malanser"" (Pinot Noir)",https://www.ddiwine.com/products/blauburgunder-malanser-pinot-noir,1,3.5,2.5,3.5,12.5,1,"A natural match for Bündnerfleisch, game, roasted poultry, mushroom risotto, or aged mountain cheeses.",,"Red and Dark Cherry, Subtle Spice, Almond, Earthy",,,FALSE,WEGELIN WEINE
